Details,Post Date,Description,Amount,Balance,Check or Slip #
DEBIT,1/13/2018,tempor convallis nulla neque libero,$35.45,$596.56,
DEBIT,1/3/2018,non interdum in ante,$65.33,$669.69,
Payment,7/22/2017,quis lectus suspendisse potenti in,$73.99,$835.82,
DEBIT,3/11/2018,feugiat et eros vestibulum ac,$-64.95,$754.11,
DEBIT,10/10/2017,pretium quis lectus suspendisse potenti,$-38.51,$551.43,ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien
DEBIT,8/9/2017,ultrices enim lorem ipsum dolor,$9.77,$629.37,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu
DEBIT,4/14/2018,quis libero nullam sit,$-12.86,$755.58,
Payment,5/5/2017,rhoncus dui vel sem sed,$-65.69,$526.39,eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec
DEBIT,12/2/2017,vivamus tortor duis mattis egestas,$20.59,$973.50,nam dui proin leo odio porttitor id consequat in consequat ut
DEBIT,7/28/2017,rutrum ac lobortis,$38.68,$885.59,
DEBIT,4/10/2017,vestibulum ante ipsum,$77.14,$686.93,ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede
Payment,10/13/2017,lacus at turpis donec posuere,$-72.54,$648.23,
Payment,6/3/2017,cubilia curae duis faucibus accumsan odio,$31.39,$932.65,
DEBIT,11/27/2017,proin eu mi,$-77.82,$716.69,
DEBIT,8/30/2017,id sapien in sapien iaculis congue,$-47.52,$916.40,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit
Payment,4/19/2017,ut dolor morbi vel,$-26.04,$796.75,
Payment,12/27/2017,curae mauris viverra diam vitae,$-98.78,$600.61,
DEBIT,8/22/2017,ipsum aliquam non mauris morbi non,$-43.88,$516.38,
Payment,7/6/2017,ultrices libero non mattis,$22.23,$764.63,
Payment,2/11/2018,fermentum justo nec condimentum,$28.20,$573.71,
DEBIT,3/29/2018,tincidunt in leo maecenas pulvinar lobortis,$93.99,$505.52,
Payment,7/31/2017,sit amet eleifend,$-98.35,$902.26,condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu
Payment,2/22/2018,aliquam non mauris morbi non,$92.16,$556.99,
DEBIT,12/10/2017,amet sem fusce consequat nulla nisl,$-61.70,$841.72,
Payment,3/4/2018,non mauris morbi non lectus,$-65.85,$798.49,at turpis donec posuere metus vitae ipsum aliquam non mauris
Payment,8/17/2017,diam in magna bibendum,$-91.05,$531.53,
